Month,2018,2019,2020
January,48,52,50
February,46,51,47
March,36,41,34
April,28,33,26
May,25,29,30
June,25,28,32
July,27,30,28
August,31,33,25
September,33,36,24
October,38,38,24
November,40,39,23
December,45,44,26
