Month,2018,2019,2020
January,731,694,578
February,805,714,590
March,859,697,527
April,865,654,468
May,920,584,513
June,910,536,488
July,895,606,482
August,865,560,518
September,841,523,615
October,831,498,700
November,771,550,800
December,721,588,1005
