Month,2018,2019,2020
January,463.8,333.2,431.8
February,475.1,419.2,422.8
March,491.7,382.4,410.9
April,512.7,365.7,259.8
May,572.1,338,328.5
June,593.6,301.8,362.3
July,557.5,394.1,432
August,440.4,362.9,596.2
September,419,368.9,728.5
October,337.4,361.7,622
November,326,412.8,502.8
December,334.8,409,635.2
