Month,2018,2019,2020
January,20.6,17.5,19.0
February,23.0,19.4,22.3
March,26.2,21.9,26.5
April,29.0,24.8,29.5
May,30.4,26.8,26.7
June,30.4,27.1,28.1
July,28.4,26.0,31.5
August,25.7,24.3,34.0
September,23.5,23.1,35.7
October,22.0,22.3,36.5
November,20.4,21.6,36.8
December,18.8,20.1,35.1
